u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
21037683,21037682,0,692648521,secondary,20 mph,Pembroke Road,False,True,60.029611613368786,"LINESTRING (-2.6176327 51.4638118, -2.6180021 51.4641643, -2.6180829 51.464272)",,B4467,,,,,,,
21037684,8408442976,0,4003171,unclassified,20 mph,Guthrie Road,False,True,13.177563294158649,"LINESTRING (-2.6186675 51.4633918, -2.6188234 51.4633239)",,,,,,,,,
21037684,21037683,0,4003171,unclassified,20 mph,Guthrie Road,False,False,85.56638644023178,"LINESTRING (-2.6186675 51.4633918, -2.6184061 51.4634921, -2.6176327 51.4638118)",,,,,,,,,
21037686,8408442976,0,4003171,unclassified,20 mph,Guthrie Road,False,False,78.08281063768364,"LINESTRING (-2.6197471 51.4629215, -2.6196058 51.4629829, -2.6188234 51.4633239)",,,,,,,,,
21037686,17705281,0,4003171,unclassified,20 mph,Guthrie Road,False,True,188.28300608949561,"LINESTRING (-2.6197471 51.4629215, -2.6204449 51.4626297, -2.6204939 51.4626092, -2.6206421 51.4625416, -2.6212076 51.4623037, -2.6217637 51.4620502, -2.6219818 51.4619583)",,,,,,,,,
21037686,3627937941,0,4309576,unclassified,20 mph,Northcote Road,True,False,276.0328980878508,"LINESTRING (-2.6197471 51.4629215, -2.62011 51.4633073, -2.6205816 51.4637046, -2.6210485 51.4641467, -2.6212025 51.4643093, -2.6215879 51.4647186, -2.6213531 51.465035)",,,,,,,,,
21037691,21037692,0,4003180,unclassified,20 mph,Waterloo Street,True,False,142.00473411378326,"LINESTRING (-2.6199461 51.4546515, -2.6207935 51.4558143)",,,,,,,,,
21037691,17705489,0,36928556,pedestrian,,Princess Victoria Street,True,False,73.6783563284068,"LINESTRING (-2.6199461 51.4546515, -2.6198913 51.4546673, -2.6195597 51.4547626, -2.6190561 51.4549073, -2.6189805 51.454929)",,,,,,,,,
21037692,26103649,0,4301910,unclassified,20 mph,Portland Street,True,False,78.3223710713329,"LINESTRING (-2.6207935 51.4558143, -2.6197573 51.4560958)",,,,,,,,,
21042461,975794801,0,4003453,service,,,False,False,51.58310199223408,"LINESTRING (-2.6001487 51.4493198, -2.6008887 51.4492696)",,,,,,,,,
21309756,26167379,0,4345222,residential,20 mph,Cotham Side,False,False,63.41960526558444,"LINESTRING (-2.5964132 51.4644759, -2.5956977 51.4641201)",,,,,,,,,
